Asset	DateMin	DateMax	TotalDays	DateDiffDays
FEURH24   	2023-03-20	2024-03-15	235	361
FEURH25   	2024-03-18	2024-06-20	47	94
FEURJ22   	2022-01-24	2022-04-14	53	80
FEURJ23   	2023-01-31	2023-04-18	22	77
FEURJ24   	2024-02-20	2024-04-17	30	57
FEURK22   	2022-02-24	2022-05-17	32	82
FEURK23   	2023-04-04	2023-05-19	19	45
FEURK24   	2024-04-02	2024-05-16	15	44
FEURM22   	2021-06-21	2022-06-17	233	361
FEURM23   	2022-06-20	2023-06-16	230	361
FEURM24   	2023-06-19	2024-06-20	218	367
FEURN22   	2022-04-19	2022-07-15	33	87
FEURN23   	2023-05-05	2023-07-21	27	77
FEURN24   	2024-06-03	2024-06-19	5	16
FEURQ22   	2022-05-27	2022-08-17	19	82
FEURQ23   	2023-06-12	2023-08-18	28	67
FEURQ24   	2024-06-19	2024-06-20	2	1
FEURU22   	2021-09-20	2022-09-16	240	361
FEURU23   	2022-09-19	2023-09-15	203	361
FEURU24   	2023-09-18	2024-06-20	146	276
FEURV22   	2022-08-31	2022-10-21	15	51
FEURV23   	2023-09-07	2023-10-19	20	42
FFINZ22   	2022-04-13	2022-12-16	25	247
FFINZ23   	2023-07-14	2023-12-05	12	144
FFINZ24   	2024-05-22	2024-06-13	2	22
FGBPF22   	2021-10-25	2022-01-14	10	81
FGBPF23   	2022-12-07	2023-01-19	16	43
FGBPF24   	2024-01-15	2024-01-15	1	0
FGBPG22   	2021-11-23	2022-02-14	18	83
FGBPG23   	2023-01-20	2023-02-16	9	27
FGBPG24   	2023-12-20	2024-02-06	7	48
FGBPJ24   	2024-03-22	2024-04-15	8	24
FGBPX22   	2022-10-26	2022-11-16	6	21
FGBPX23   	2023-10-23	2023-11-09	11	17
FGBPZ22   	2021-12-23	2022-12-16	108	358
FGBPZ23   	2022-12-21	2023-12-14	101	358
FGBPZ24   	2023-12-19	2024-06-20	43	184
FGMSH24   	2023-07-12	2024-01-16	9	188
FGMSU22   	2021-12-20	2022-08-24	28	247
FGMSU23   	2023-03-14	2023-09-14	8	184
FGMSZ22   	2022-03-28	2022-12-16	27	263
FGMSZ23   	2023-03-29	2023-12-14	9	260
FGMSZ24   	2024-03-21	2024-04-29	2	39
FGPWM22   	2021-09-20	2022-06-17	75	270
FGPWM23   	2022-09-19	2023-06-16	86	270
FGPWZ22   	2022-03-30	2022-12-16	76	261
FGPWZ23   	2023-04-11	2023-12-15	59	248
FGPWZ24   	2024-03-20	2024-06-20	5	92
FINGH22   	2021-09-01	2022-03-18	54	198
FINGH23   	2022-09-16	2023-03-17	34	182
FINGH24   	2023-07-05	2024-03-15	54	254
FINGM22   	2021-09-23	2022-06-02	46	252
FINGM23   	2022-09-21	2023-06-16	52	268
