Asset	DateMin	DateMax	TotalDays	DateDiffDays
SAULETECH 	2022-05-25	2024-06-20	516	757
SCANWAY   	2023-10-11	2024-06-20	173	253
SCPFL     	2017-08-16	2024-06-20	1670	2500
SDSOPTIC  	2022-03-15	2024-06-20	558	828
SECOGROUP 	2007-12-05	2024-06-20	3194	6042
SEDIVIO   	2022-01-12	2024-06-20	597	890
SEKO      	2007-04-10	2024-06-20	3714	6281
SELENAFM  	2008-05-20	2024-06-20	3779	5875
SELVITA   	2011-07-14	2024-06-20	3216	4725
SERINUS   	2013-07-04	2024-06-20	2711	4004
SEVENET   	2011-08-12	2024-06-20	2001	4696
SFD       	2012-01-09	2024-06-20	1921	4546
SFINKS    	2006-06-08	2024-06-20	4424	6587
SHOPER    	2021-07-09	2024-06-20	733	1077
SILVAIR-REGS	2020-05-27	2024-06-20	832	1485
SIMFABRIC 	2020-04-09	2024-06-20	1046	1533
SIMTERACT 	2021-02-18	2024-06-20	740	1218
SKARBIEC  	2014-11-18	2024-06-20	2371	3502
SKYLINE   	2008-04-04	2024-06-20	3527	5921
SNIEZKA   	2003-12-31	2024-06-20	4924	7477
SNTVERSE  	2023-07-18	2024-06-20	233	338
SOFTBLUE  	2015-12-17	2024-06-20	2088	3108
SOHODEV   	2015-06-17	2024-06-20	2168	3291
SOLARINOV 	2021-01-26	2024-06-20	833	1241
SONEL     	2008-08-11	2024-06-20	3452	5792
SONKA     	2019-10-23	2024-06-20	1156	1702
SOPHARMA  	2011-11-28	2024-06-20	971	4588
SPYROSOFT 	2020-03-05	2024-06-20	1052	1568
STALEXP   	2000-11-17	2024-06-20	5897	8616
STALPROD  	2000-11-17	2024-06-20	5797	8616
STALPROFI 	2000-11-17	2024-06-20	5657	8616
STAPORKOW 	2007-08-03	2024-06-20	3612	6166
STARHEDGE 	2014-07-29	2024-06-20	1947	3614
STARWARD  	2020-08-27	2024-06-20	942	1393
STEMCELLS 	2011-10-25	2024-06-20	2318	4622
SUNDRAGON 	2021-01-27	2024-06-20	797	1240
SUNEX     	2011-11-30	2024-06-20	2683	4586
SUNNET    	2024-01-16	2024-06-20	108	156
SUNTECH   	2008-10-02	2024-06-20	3164	5740
SWMANSION 	2023-10-20	2024-06-20	146	244
SYGNITY   	2007-04-16	2024-06-20	4273	6275
SYNEKTIK  	2011-08-09	2024-06-20	3152	4699
SYNERGA   	2017-12-18	2024-06-20	1597	2376
TALEX     	2000-11-20	2024-06-20	5593	8613
TAMEX     	2011-04-26	2024-06-20	2419	4804
TARCZYNSKI	2013-07-08	2024-06-20	2457	4000
TAURONPE  	2010-06-30	2024-06-20	3486	5104
TAXNET    	2011-07-07	2024-06-20	2210	4732
TBULL     	2016-11-03	2024-06-20	1783	2786
TELEMEDPL 	2010-10-07	2024-06-20	2214	5005
TELESTR   	2008-08-25	2024-06-20	2474	5778
TELGAM    	2013-06-18	2024-06-20	2615	4020
TERMO2PWR 	2017-01-05	2024-06-20	1804	2723
TERMOEXP  	2012-12-21	2024-06-20	1570	4199
TESGAS    	2009-09-16	2024-06-20	3652	5391
TEXT      	2023-09-22	2024-06-20	186	272
THEDUST   	2018-04-16	2024-06-20	1540	2257
TORPOL    	2014-09-05	2024-06-20	2439	3576
TOWERINVT 	2017-12-28	2024-06-20	1288	2366
TOYA      	2011-09-09	2024-06-20	2834	4668
TRAKCJA   	2008-04-01	2024-06-20	4040	5924
TRANSPOL  	2008-10-20	2024-06-20	3135	5722
TREX      	2024-01-08	2024-06-20	100	164
TRITON    	2007-04-13	2024-06-20	3471	6278
TRUEGS    	2021-05-07	2024-06-20	727	1140
TSGAMES   	2018-05-11	2024-06-20	1524	2232
UFGAMES   	2022-12-05	2024-06-20	326	563
ULMA      	2006-12-14	2024-06-20	4137	6398
ULTGAMES  	2018-06-15	2024-06-20	1500	2197
UNIBEP    	2008-05-12	2024-06-20	3976	5883
UNIMOT    	2014-10-15	2024-06-20	2316	3536
UNIVERSE  	2022-09-08	2024-06-20	121	651
URTESTE   	2021-10-27	2024-06-20	560	967
VAKOMTEK  	2014-02-13	2024-06-20	1561	3780
VEE       	2020-09-25	2024-06-20	901	1364
VERBICOM  	2008-08-01	2024-06-20	2923	5802
VERCOM    	2021-05-06	2024-06-20	781	1141
VIGOPHOTN 	2022-10-07	2024-06-20	426	622
VINDEXUS  	2009-04-15	2024-06-20	3764	5545
VIVID     	2012-08-14	2024-06-20	2936	4328
VOOLT     	2022-01-12	2024-06-20	601	890
VOTUM     	2011-01-17	2024-06-20	3318	4903
VOXEL     	2011-10-11	2024-06-20	3142	4636
VRFABRIC  	2023-06-29	2024-06-20	246	357
VRFACTORY 	2022-01-04	2024-06-20	589	898
VRG       	2019-06-24	2024-06-20	1247	1823
WARIMPEX  	2007-01-29	2024-06-20	3499	6352
WASKO     	2007-01-24	2024-06-20	4332	6357
WAWEL     	2001-04-18	2024-06-20	5621	8464
WGPARTNER 	2024-03-11	2024-06-20	63	101
WIELTON   	2008-02-07	2024-06-20	4064	5978
WIERZYCL  	2010-09-08	2024-06-20	2768	5034
WIG-BANKI 	2003-06-13	2024-06-20	5254	7678
WIG-BUDOW 	2003-06-13	2024-06-20	5254	7678
WIG-CEE   	2012-05-30	2024-06-20	3003	4404
WIG-CHEMIA	2008-09-22	2024-06-20	3930	5750
WIG-ENERG 	2010-01-04	2024-06-20	3609	5281
WIG-ESG   	2019-09-03	2024-06-20	1197	1752
WIG-GORNIC	2017-01-02	2024-06-20	1858	2726
WIG-GRY   	2022-03-21	2024-06-20	560	822
WIG-INFO  	2003-06-13	2024-06-20	5254	7678
WIG-LEKI  	2017-01-02	2024-06-20	1858	2726
WIG-MEDIA 	2005-01-03	2024-06-20	4861	7108
WIG-MOTO  	2017-01-02	2024-06-20	1858	2726
WIG-NRCHOM	2017-01-02	2024-06-20	1858	2726
WIG-ODZIEZ	2017-01-02	2024-06-20	1858	2726
WIG-PALIWA	2006-01-02	2024-06-20	4610	6744
WIG-SPOZYW	2003-06-13	2024-06-20	5254	7678
